ID;LastName;FirstName;Job;Expertise;Category;Photo;Web
boehmer;Böhmer;Sebastian;Founding Partner at First Momentum Ventures;Venture capital, business development, finance, legal;Financing;sebastian_boehmer.jpg;https://www.linkedin.com/in/sebastianboehmer/
busch;Busch ;Hans-Lothar ;Trainer & coach for the acquisition of industry projects;Acquisition of industry projects, marketing, leadership, purchasing;Acquisition;hans_busch.png;https://www.mehr-industrieprojekte.de/über-mich/
fischer;Fischer;Andreas;Founding Partner at First Momentum Ventures;Idea validation, strategy, financing;Financing;andreas_fischer.jpg;https://www.linkedin.com/in/afischerfmv/
fuchs;Fuchs;Jonas;Founder & CEO at Usertimes Solution GmbH;Student perspective, MVPs, networking, company culture, sales;Sales;jonas_fuchs.jpg;
greiner;Greiner;Peter;Active and financial investor for startups;Business modelling, founding, organizational design, financing, sales;Business modelling;peter_greiner.jpg;https://www.xing.com/profile/Peter_Greiner25
heger;Heger;Cécile F.;CEO at ABC-Vidal;Finance, salaries, organization, strategy;Finance;cecile_heger.jpg;www.linkedin.com/in/cécile-f-heger-1593a062
koecher;Köcher;Manuel;Manager at the CIE (KIT) and business consultant;Organizational design, market analysis, product development, strategy;Market Analysis;manuel_koecher.jpg;
malovic;Malovic;Maja;Business Innovation Manager and Design Thinking Coach;Business modelling, design thinking, client communication, prototyping;Design Thinking;;
nefferdorf;Nefferdorf;Jannik;Student and entrepeneurial enthusiast;Startup ecosystem, business modelling, entrepeneurship basics;Ecosystem;jannik_nefferdorf.jpg;https://www.linkedin.com/in/neffi97/
rammensee;Rammensee;Martin;Founder & CEO at Green Parrot GmbH;Strategy, market entry, mobility, B2B;Strategy;martin_rammensee.jpg;https://www.linkedin.com/in/martin-rammensee-a7860398/
rodriguez;Rodriguez;Nestor;Innovational tourist;Market, startup scene, business development, inspiration;Market Analysis;nestor_rodriguez.jpg;https://www.xing.com/profile/Nestor_Rodriguez
romberg;Romberg;Ben;Founder of codefortynine GmbH;"Bootstrapping, lean startup, continuous delivery, business modelling, Y Combinator ""philosophy""";Business Modelling;ben_romberg.jpg;https://www.xing.com/profile/Ben_Romberg
rothermel;Rothermel;Heinz T.;Business consultant and lecturer;Business planning, strategy, venture capital, marketing, communication;Business Planning;heinz_rothermel.jpg;https://www.xing.com/profile/Heinz_Rothermel/
schuerer;Schürer;Matthias;President of BWB and mentor of Absolventum Uni Mannheim;Sales, business modelling, organizational design;Business Modelling;;
tausch;Tausch;Frederic ;CTO & Co-Founder at apic.ai;AI, software development, bootstrapping, founding, student perspective;Development;frederic_tausch.jpg;https://www.linkedin.com/in/frederic-tausch/
